Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-dk.kip.sundk.fhir.ig.core.json	249412	-	0	0	0	0	0	0	18	224	0	0	0	0	0	0	0	4	0	0	842	1079	0	0	0	45	0	6
fsh-generated/resources/CodeSystem-ACTherapyNotGiven.json	1910	7	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	28	2454	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-AKBehandling.json	1404	5	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	21	80	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ASAClassification.json	1510	4	1	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	20	64	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ATC.json	14597	7	0	0	0	0	0	0	1	34	0	0	0	0	0	0	0	0	0	0	69	137	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-ATCMixedCodes.json	1432	5	1	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	23	55	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ActilyseNotGiven.json	1105	5	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	21	58	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ActivityType.json	2267	4	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	26	44	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-AktuelSygdomsforlob.json	816	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-Alchohol.json	1350	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	20	43	0	0	0	1	0	0
