Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-dk.kip.rkkp.fhir.ig.core.json	263177	-	0	0	0	0	0	0	20	152	0	0	0	0	0	0	0	3	0	0	386	837	0	0	0	53	0	9
fsh-generated/resources/CodeSystem-ACTherapyNotGiven.json	3014	3	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	22	52	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-AKBehandling.json	2508	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	67	31	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ASAClassification.json	2614	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	196	26	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ATC.json	15701	1	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	67	58	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-ATCMixedCodes.json	2536	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	65	22	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ActilyseNotGiven.json	2209	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	21	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ActivityType.json	3371	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	11	24	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-AktuelSygdomsforlob.json	1922	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	18	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-Alchohol.json	2454	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	170	21	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-AlchoholDrugs.json	2362	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	22	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-AlloplastyTypes.json	4692	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	204	21	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-AnasthesiaService.json	4782	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	116	20	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-AnasthesiaTypeGen.json	1961	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	15	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-AnastomosisLeak.json	1935	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	17	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-AnastomosisLeakConsequence.json	3076	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	16	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-AnastomosisLeakGrading.json	2160	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	15	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-AnastomosisType.json	2819	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	15	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-AnatomicalLocations.json	6356	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	14	20	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-AneurysmClosure.json	1837	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	86	13	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-AneurysmSizeScale.json	2045	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	16	14	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-AnnArborStagingClassification.json	2748	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	41	15	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ArtrosePlacering.json	2272	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	373	14	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-AssessmentType.json	3187	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	28	12	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-AssistDevices.json	1807	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-BANFF.json	2334	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	21	13	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-BasicDisorder.json	6318	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	12	15	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-BehandlingAfbrudt.json	2947	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	13	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-BinetStagingSystem.json	2440	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	108	13	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-BiobankSamples.json	3171	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	13	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-Birthplace.json	2883	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	12	41	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-BleedingStroke.json	3592	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	19	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-BlockTypes.json	7004	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	45	20	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-BloodThinnersTreatment.json	1976	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	32	12	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-BoneLossAcetabulumFemurClassification.json	4127	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	14	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-BulkingMaterialeDUGA.json	1988	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	96	12	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CALRGeneType.json	1817	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	48	13	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CalciumType.json	1878	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	22	10	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CancerInvestigation.json	2628	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	59	12	0	0	0	1	0	0
