URL,Version,Status,OIDs,Name,Title,Description,Used
https://kip.sundk.dk/fhir/CodeSystem/ACTherapyNotGiven,0.0.9,active,,ACTherapyNotGiven,Reasons for not giving anticoagulation therapy,"Årsagen til hvorfor man har fravalgt antikoagulationsbehandling.",
https://kip.sundk.dk/fhir/CodeSystem/AKBehandling,0.0.9,active,,AKBehandling,AK Behandling (DKR),"AK Behandling (DKR)",
https://kip.sundk.dk/fhir/CodeSystem/ASAClassification,0.0.9,active,,ASAClassification,ASA Physical Status Classification System,"Score udviklet til vurdering af det fysiske helbred. Link: https://www.asahq.org/standards-and-guidelines/asa-physical-status-classification-system",
https://kip.sundk.dk/fhir/CodeSystem/ATC,0.0.9,active,"2.16.840.1.113883.6.73",ATC,WHO ATC,"WHO ATC code system. Link: http://www.whocc.no/atc",
https://kip.sundk.dk/fhir/CodeSystem/ATCMixedCodes,0.0.9,active,,ATCMixedCodes,WHO ATC; Mixed codes,"WHO ATC code system; Mixed codes. Link: http://www.whocc.no/atc",
https://kip.sundk.dk/fhir/CodeSystem/ActilyseNotGiven,0.0.9,active,,ActilyseNotGiven,Reasons for not giving total dose of actilyse,"Årsagen til hvorfor man ikke har givet totaldosis i.v. actilyse.",
https://kip.sundk.dk/fhir/CodeSystem/ActivityType,0.0.9,active,,ActivityType,Activity type,"Activity type",
https://kip.sundk.dk/fhir/CodeSystem/AktuelSygdomsforlob,0.0.9,active,,AktuelSygdomsforlob,Aktuel Sygdomsforløb,"Er patienten i det aktuelle sygdomsforløb",
https://kip.sundk.dk/fhir/CodeSystem/Alchohol,0.0.9,active,,Alchohol,Alchohol,"Healthfactor alchohol",
https://kip.sundk.dk/fhir/CodeSystem/AlchoholDrugs,0.0.9,active,,AlchoholDrugs,Alchohol or drugs,"Alchohol or drugs",
https://kip.sundk.dk/fhir/CodeSystem/AlloplastyTypes,0.0.9,active,,AlloplastyTypes,Alloplasty operation types,"Alloplasty operation types",
https://kip.sundk.dk/fhir/CodeSystem/AnasthesiaService,0.0.9,active,,AnasthesiaService,Anæstesiydelse,"Anæstesiydelse",
https://kip.sundk.dk/fhir/CodeSystem/AnasthesiaTypeGen,0.0.9,active,,AnasthesiaTypeGen,Anæstesi Type Generel,"Generel Anæstesiydelse - Tillæg",
https://kip.sundk.dk/fhir/CodeSystem/AnastomosisLeak,0.0.9,active,,AnastomosisLeak,Anastomosis leak,"Anastomosis Leak",
https://kip.sundk.dk/fhir/CodeSystem/AnastomosisLeakConsequence,0.0.9,active,,AnastomosisLeakConsequence,Anastomosis leak consequence,"Anastomosis leak consequence",
https://kip.sundk.dk/fhir/CodeSystem/AnastomosisLeakGrading,0.0.9,active,,AnastomosisLeakGrading,Anastomosis leak grading,"Anastomosis leak grading",
https://kip.sundk.dk/fhir/CodeSystem/AnastomosisType,0.0.9,active,,AnastomosisType,Anastomosis type,"Anastomosis type",
https://kip.sundk.dk/fhir/CodeSystem/AnatomicalLocations,0.0.9,active,,AnatomicalLocations,Anatomy locations, not specified in classifcations (SKS, etc.),"Anatomy locations, not specified in classifcations (SKS, etc.)",
https://kip.sundk.dk/fhir/CodeSystem/AneurysmClosure,0.0.9,active,,AneurysmClosure,Aneurysm closure,"Aneurysm closure - Degree of closure",
https://kip.sundk.dk/fhir/CodeSystem/AneurysmSizeScale,0.0.9,active,,AneurysmSizeScale,Aneurysm size scale (SAH),"Aneurysm size scale (SAH)",
https://kip.sundk.dk/fhir/CodeSystem/AnnArborStagingClassification,0.0.9,active,,AnnArborStagingClassification,Ann Arbor staging system,"Ann Arbor staging system; Link: https://radiopaedia.org/articles/ann-arbor-staging-system",
https://kip.sundk.dk/fhir/CodeSystem/ArtrosePlacering,0.0.9,active,,ArtrosePlacering,Placering af indikationsgivne artrose,"Placering af indikationsgivne artrose",
https://kip.sundk.dk/fhir/CodeSystem/AssessmentType,0.0.9,active,,AssessmentType,Assessment type,"Assessment type",
https://kip.sundk.dk/fhir/CodeSystem/AssistDevices,0.0.9,active,,AssistDevices,Assist devices,"Assist devices",
https://kip.sundk.dk/fhir/CodeSystem/BANFF,0.0.9,active,,BANFF,Banff Classifikation,"Banff Classifikation",
https://kip.sundk.dk/fhir/CodeSystem/BasicDisorder,0.0.9,active,,BasicDisorder,Basic disorder,"Basic disorder",
https://kip.sundk.dk/fhir/CodeSystem/BehandlingAfbrudt,0.0.9,active,,BehandlingAfbrudt,Behandling afbrudt/ophørt,"Årsager til behandling eller forløb er afbrudt/ophørt",
https://kip.sundk.dk/fhir/CodeSystem/BinetStagingSystem,0.0.9,active,,BinetStagingSystem,Binet staging system for Chroniz Lymphocytic Leukemia,"Stages chronic lymphocytic leukemia, similar to Rai Staging System. *Nodal areas: cervical, axillary, inguinal (one side or both), spleen, and liver. Link: https://www.mdcalc.com/calc/10053/binet-staging-system-chronic-lymphocytic-leukemia-cll",
https://kip.sundk.dk/fhir/CodeSystem/BiobankSamples,0.0.9,active,,BiobankSamples,Danish National Biobank - Samples/materials,"Danish National Biobank - Samples/materials",
https://kip.sundk.dk/fhir/CodeSystem/Birthplace,0.0.9,active,,Birthplace,Birthplace,"Birthplace",
https://kip.sundk.dk/fhir/CodeSystem/BleedingStroke,0.0.9,active,,BleedingStroke,Bleeding - Stroke,"Bleeding - Stroke",
https://kip.sundk.dk/fhir/CodeSystem/BlockTypes,0.0.9,active,,BlockTypes,Typer af blokader,"Blokader - Central, Underekstremitet, Overekstremitet",
https://kip.sundk.dk/fhir/CodeSystem/BloodThinnersTreatment,0.0.9,active,,BloodThinnersTreatment,Current treatment (if any) of medical blood thinners,"Current treatment (if any) of medical blood thinners",
https://kip.sundk.dk/fhir/CodeSystem/BoneLossAcetabulumFemurClassification,0.0.9,active,,BoneLossAcetabulumFemurClassification,Bone loss - Acetabulum Femur Classification,"Walch classification; Link: https://radiopaedia.org/articles/walch-classification-of-glenoid-morphology-1",
https://kip.sundk.dk/fhir/CodeSystem/BulkingMaterialeDUGA,0.0.9,active,,BulkingMaterialeDUGA,Bulking materiale - Urogynækologi (DUGA),"Bulking materiale - Urogynækologi (DUGA)",
https://kip.sundk.dk/fhir/CodeSystem/CALRGeneType,0.0.9,active,,CALRGeneType,CALR gene type,"CALR gene type",
https://kip.sundk.dk/fhir/CodeSystem/CalciumType,0.0.9,active,,CalciumType,Calcium type,"Calcium type",
https://kip.sundk.dk/fhir/CodeSystem/CancerInvestigation,0.0.9,active,,CancerInvestigation,Cancer investigation,"Udredning for cancerpatienter for cancerpatienter.",
https://kip.sundk.dk/fhir/CodeSystem/CauseOfDeath,0.0.9,active,,CauseOfDeath,Cause of death,"Cause of death",
https://kip.sundk.dk/fhir/CodeSystem/CementType,0.0.9,active,,CementType,Cement type,"Cement type",
https://kip.sundk.dk/fhir/CodeSystem/CentralBlock,0.0.9,active,,CentralBlock,Central blokade,"Tidspunkt for central blokade",
https://kip.sundk.dk/fhir/CodeSystem/ChemotherapyRegimen,0.0.9,active,,ChemotherapyRegimen,Chemotherapy regimen,"Chemotherapy regimen",
https://kip.sundk.dk/fhir/CodeSystem/ChromosomPair,0.0.9,active,,ChromosomPair,Chromosom pair,"Chromosom pair",
https://kip.sundk.dk/fhir/CodeSystem/ClinicalProtocolCodes,0.0.9,active,,ClinicalProtocolCodes,Clinical protocol; name,"Clinical protocol; name",
https://kip.sundk.dk/fhir/CodeSystem/ClinicalProtocolNotParticipated,0.0.9,active,,ClinicalProtocolNotParticipated,Clinical protocol - patient did not participated; cause,"Clinical protocol -  patient did not participated; cause",
https://kip.sundk.dk/fhir/CodeSystem/CognitiveFunctionFinding,0.0.9,active,,CognitiveFunctionFinding,Cognitive function finding,"Cognitive function finding / SNOMED-CT: 373930000",
https://kip.sundk.dk/fhir/CodeSystem/CognitiveTest,0.0.9,active,,CognitiveTest,Cognitive test,"Cognitive test",
https://kip.sundk.dk/fhir/CodeSystem/Competence,0.0.9,active,,Competence,Fagligt niveau,"Udførende personales faglighed",
https://kip.sundk.dk/fhir/CodeSystem/Complications,0.0.9,active,,Complications,Complications,"Complications - several procedures",
https://kip.sundk.dk/fhir/CodeSystem/ConferenceParticipants,0.0.9,active,,ConferenceParticipants,Conference Participants,"Deltagende faggrupper",
https://kip.sundk.dk/fhir/CodeSystem/ContactPatient,0.0.9,active,,ContactPatient,Kontakt til patient,"Kontakttype til patient - Undersøgelse, interview, mv.",
https://kip.sundk.dk/fhir/CodeSystem/ContactPlace,0.0.9,active,,ContactPlace,Contact; Place of contact,"Contact; Place of contact",
https://kip.sundk.dk/fhir/CodeSystem/ContaminationDegree,0.0.9,active,,ContaminationDegree,Contamination degree,"Contamination degree",
https://kip.sundk.dk/fhir/CodeSystem/CoronaryArteryGraph,0.0.9,active,,CoronaryArteryGraph,KAG risk assesment,"Should the patient get a KAG",
https://kip.sundk.dk/fhir/CodeSystem/Cyclus,0.0.9,active,,Cyclus,Cyclus,"Cyclus længde",
https://kip.sundk.dk/fhir/CodeSystem/CytogeneticChanges,0.0.9,active,,CytogeneticChanges,Cytogenetic changes,"Cytogenetic changes",
https://kip.sundk.dk/fhir/CodeSystem/CytogeneticExamination,0.0.9,active,,CytogeneticExamination,Cytogenetic examination,"Examination; cytogenetic examination",
https://kip.sundk.dk/fhir/CodeSystem/DHDeksklusionskriterie,0.0.9,active,,DHDeksklusionskriterie,DHD eksklusionskriterier,"Patienten skal ikke indberettes til DHD, fordi patienten opfylder et af følgende eksklusionskriterier.",
https://kip.sundk.dk/fhir/CodeSystem/DSAFindingsLocation,0.0.9,active,,DSAFindingsLocation,Findings with digital subtraction angiography (DSA); location of clot,"Findings with digital subtraction angiography (DSA); location of clot",
https://kip.sundk.dk/fhir/CodeSystem/DatabasesKIP,0.0.9,active,,DatabasesKIP,Databaser - KIP,"Databaser i KIP",
https://kip.sundk.dk/fhir/CodeSystem/DeathPlace,0.0.9,active,,DeathPlace,Place of death,"Place of death",
https://kip.sundk.dk/fhir/CodeSystem/DefibrilleringAnalyse,0.0.9,active,,DefibrilleringAnalyse,Defibrillering_Analyse,"Metode til analyse/defibrillering af hjerterytme",
https://kip.sundk.dk/fhir/CodeSystem/DetectionMethods,0.0.9,active,,DetectionMethods,Detection methods,"Detection methods (vasospasms etc.)",
https://kip.sundk.dk/fhir/CodeSystem/Dialyseadgang,0.0.9,active,,Dialyseadgang,Dialyseadgang,"Dialyseadgang",
https://kip.sundk.dk/fhir/CodeSystem/DiseaseLocalization,0.0.9,active,,DiseaseLocalization,Disease localization,"Disease localization",
https://kip.sundk.dk/fhir/CodeSystem/DiseasePhase,0.0.9,active,,DiseasePhase,Disease phase,"Disease phase",
