Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-dk.kip.rkkp.fhir.ig.core.json	254041	-	0	0	0	0	0	0	20	138	0	0	0	0	0	0	0	6	0	0	769	867	0	0	0	39	0	8
fsh-generated/resources/CodeSystem-ACTherapyNotGiven.json	1909	2	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	20	145	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-AKBehandling.json	1403	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	66	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ASAClassification.json	1509	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	16	72	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ATC.json	14596	2	0	0	1	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	82	109	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-ATCMixedCodes.json	1431	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	16	32	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ActilyseNotGiven.json	1104	2	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	14	34	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ActivityType.json	2266	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	19	39	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-AktuelSygdomsforlob.json	815	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	32	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-Alchohol.json	1349	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	31	0	0	0	0	0	0
